video_id,cohort_id,views_6h,likes_6h,comments_6h,views_24h,likes_24h,comments_24h,views_log,likes_log,comments_log,viral_score,viral
wwfWbtGt4T8,cohort3,1047,6,0,1347,11,0,7.206377291472252,2.4849066497880004,0.0,5.069298369819752,0
ZtyawLxEZpI,cohort3,1037,27,0,1499,46,1,7.313220387090301,3.8501476017100575,0.6931471805599453,5.6122912308231925,0
VpfZv0CsRoA,cohort3,776,7,0,779,7,0,6.659293919683638,2.079441541679836,0.0,4.619408814314133,0
gCGWzckiahI,cohort3,1261,17,0,1274,19,0,7.150701457592526,2.995732273553991,0.0,5.189140556621712,0
Vev-BMcXHho,cohort3,992,13,2,1722,20,2,7.45182223652793,3.044522437723423,1.0986122886681098,5.494311302100596,0
pggjv6EZRu4,cohort3,1707,25,0,3012,45,0,8.0106915391303,3.828641396489095,0.0,5.955007342424909,0
tThXHX6KekA,cohort3,1000,35,0,1151,43,0,7.049254841255837,3.784189633918261,0.0,5.364809794928981,0
UMdUjZomNsU,cohort3,690,21,0,1035,34,0,6.943122422819428,3.555348061489413,0.0,5.232477872138481,0
eKzb1RKYSUM,cohort3,1892,15,0,1936,17,0,7.5688956634069955,2.8903717578961645,0.0,5.408448925413047,0
JgqiD7TKJX4,cohort3,1097,3,0,1463,4,0,7.288927694521257,1.6094379124341005,0.0,4.856187990442984,0
OYCSDuV3_fY,cohort3,10000,0,2,25355,0,5,10.140770667404055,0.0,1.791759469228055,6.263638347365239,0
uuRSIghKJ8s,cohort3,919,14,0,1275,22,2,7.151485463904735,3.1354942159291497,1.0986122886681098,5.341400771988397,0
tVVN5rfFcpI,cohort3,1422,14,3,1587,17,5,7.370230641807081,2.8903717578961645,1.791759469228055,5.468425859375904,0
Xv9DUx1NoDw,cohort3,27754,152,30,56148,262,53,10.935764150568996,5.572154032177765,3.9889840465642745,8.632003104651155,1
VBJoaZXapAg,cohort3,7000,601,24,12049,1024,29,9.3968199389188,6.932447891572509,3.4011973816621555,8.057946068989247,1
UHoU2jGoHiY,cohort3,1450,0,2,1700,0,3,7.438971592395862,0.0,1.3862943611198906,4.602012391549506,0
QcBLVviuFns,cohort3,12175,58,3,20086,91,4,9.907828118634548,4.5217885770490405,1.6094379124341005,7.462177235538851,0
fRv8KKbyPNQ,cohort3,696,30,2,7604,362,27,8.936561204693394,5.8944028342648505,3.332204510175204,7.463478024113011,0
M7KyduM8WA4,cohort3,2027,20,2,5791,60,6,8.664232934065552,4.110873864173311,1.9459101490553128,6.626392934596856,0
y89mRR2jby4,cohort3,795,7,6,818,8,6,6.70808408385307,2.19722457733622,1.9459101490553128,4.878608838418239,0
S9XMknRveG0,cohort3,5306,9,0,8224,11,0,9.014933575633572,2.4849066497880004,0.0,6.154432140316543,0
MA76_CJ63xY,cohort3,1573,13,1,4578,32,1,8.429235912657095,3.49650756146648,0.6931471805599453,6.175808534090195,0
oFvdABEfMCY,cohort3,1473,34,0,1478,34,0,7.2991214627108,3.555348061489413,0.0,5.4460772960733035,0
4lTm24zr_JQ,cohort3,4087,182,1,6218,242,1,8.735364401103888,5.493061443340548,0.6931471805599453,6.958451791720492,0
lOCar5PWRB4,cohort3,2885,27,5,3771,36,5,8.235360643753348,3.610917912644224,1.791759469228055,6.203667706968081,0
SMH2HgXPC6k,cohort3,3994,102,1,12848,339,2,9.46102126628348,5.828945617610208,1.0986122886681098,7.535157673919961,0
BwZUvus7RMA,cohort3,11033,16,1,12755,17,1,9.453757028129948,2.8903717578961645,0.6931471805599453,6.608680462302813,0
03_e2NIlDT8,cohort3,729,59,19,803,66,22,6.689599269178967,4.204692619390966,3.1354942159291497,5.588716768917585,0
Cm4ymJFaTC0,cohort3,1557,26,1,1555,26,1,7.349873704738337,3.295836866004329,0.6931471805599453,5.467990000700295,0
AahJtOM0hGA,cohort3,1342,57,4,1362,61,4,7.217443431696533,4.127134385045092,1.6094379124341005,5.7295501657748575,0
AuDUu1V5Re8,cohort3,4858,31,0,5181,46,0,8.552946361122055,3.8501476017100575,0.0,6.2868120971862504,0
AFNNIGP6kks,cohort3,15706,20,0,16399,20,0,9.70503661381229,3.044522437723423,0.0,6.7363786996044,0
yOW1GzpaFAw,cohort3,26377,160,2,33733,189,2,10.42626150981796,5.247024072160486,1.0986122886681098,7.9397253564057335,0
NA1e_JYfPI0,cohort3,7832,188,0,10313,213,0,9.241257474610904,5.365976015021851,0.0,7.154547289273098,0
leYD-nmMeBI,cohort3,16049,93,0,22026,130,0,10.000024252584158,4.875197323201151,0.0,7.46257374851084,0
UKIYr0bkvKo,cohort3,9882,0,0,11033,0,0,9.308736693832376,0.0,0.0,5.585242016299426,0
U7kKKGLCyow,cohort3,4941,98,1,6580,112,2,8.791941988456118,4.727387818712341,1.0986122886681098,6.803242767554185,0
GAls3kX-EJg,cohort3,1008,41,10,1368,128,38,7.221835825288449,4.859812404361672,3.6635616461296463,6.157401381094536,0
1SinRmfSX6A,cohort3,27677,80,0,101631,231,0,11.529113725166752,5.44673737166631,0.0,8.551489446599945,1
RBPPWEFIuAc,cohort3,1558,20,2,2357,23,2,7.765569081097317,3.1780538303479458,1.0986122886681098,5.722618826629585,0
