video_id,views,likes,comments,tracked_at
tI67adV3pXY,32666,298,0,2026-04-22 18:23:01.648160
JbiHS32r48w,142179,0,1,2026-04-22 18:23:01.648161
qCPUL-n2zEM,34434,0,1,2026-04-22 18:23:01.648163
GB92jfG0Aww,44653,895,43,2026-04-22 18:23:01.648165
Bl66lNBD-U4,28625,394,1,2026-04-22 18:23:01.648167
MKvmhS2WElo,28292,0,2,2026-04-22 18:23:01.648168
jaIQWlDTLUY,195993,3346,6,2026-04-22 18:23:01.648170
iVnxwkHDD3Q,32881,683,30,2026-04-22 18:23:01.648172
n22uDbchZYs,38698,161,0,2026-04-22 18:23:01.648174
LEIgQtVwJGk,33690,693,4,2026-04-22 18:23:01.648176
6vaEALEbKmo,34882,170,1,2026-04-22 18:23:01.648177
fAwjFITVLzs,57393,0,1,2026-04-22 18:23:01.648179
hB6WnL80HNI,21064,820,11,2026-04-22 18:23:01.648181
2A4C6Dpiod4,57043,218,1,2026-04-22 18:23:01.648183
ncSecGdH7rg,61231,1328,7,2026-04-22 18:23:01.648185
dVXQazWGqVQ,295542,1597,6,2026-04-22 18:23:01.648187
DF9WGou4ffA,47822,0,1,2026-04-22 18:23:01.648188
GElOK8JXlXI,43922,699,8,2026-04-22 18:23:01.648190
-tccKyTazdw,23795,128,0,2026-04-22 18:23:01.648191
GVir39PsE6g,30948,74,1,2026-04-22 18:23:01.648193
jPyMJ5W-AOE,48035,0,3,2026-04-22 18:23:01.648195
9PjbZzKVdZw,30199,188,0,2026-04-22 18:23:01.648196
7oBKFVItzsU,663442,0,2,2026-04-23 04:21:07.213723
ppFBhivpaGE,1012907,2093,0,2026-04-23 04:21:07.213753
VrBgkDnksDI,369596,1890,2,2026-04-23 04:21:07.213760
Ef-7oED0mq4,160733,9284,281,2026-04-23 04:21:07.213764
7EmZyk8MLNQ,310344,0,2,2026-04-23 04:21:07.213768
_Dtsn9DzIbs,241145,1914,0,2026-04-23 04:21:07.213772
G-pTfMOY9QE,453432,7998,476,2026-04-23 04:21:07.213776
4XAK7-VZX6Q,605278,0,4,2026-04-23 04:21:07.213779
rvMbdIJnM1I,231380,0,2,2026-04-23 04:21:07.213783
LMSKC7drnMA,113628,0,1,2026-04-23 04:21:07.213787
71-KRdBGlsI,789979,17188,53,2026-04-23 04:21:07.213790
gIZoO48ePNs,264585,1266,1,2026-04-23 04:21:07.213794
9Z6s2IeafHM,72691,419,1,2026-04-23 04:21:07.213798
Z4ufGu70hYk,65225,0,1,2026-04-23 04:21:07.213801
Q3ggtN1Y-OM,246732,756,1,2026-04-23 04:21:07.213804
aJWuMnhx294,133206,764,2,2026-04-23 04:21:07.213808
GH0WPFOB4Jg,228207,1628,2,2026-04-23 04:21:07.213811
-dUURnwXGpQ,86098,2432,67,2026-04-23 04:21:07.213815
