video_id,views,likes,comments,tracked_at,cohort_id
IusZLMlE_-E,2055,46,0,2026-05-07 04:56:02.368975,cohort2
d9STPKfyKvw,2736,8,1,2026-05-07 04:56:02.368975,cohort2
LRfmdgbTeTg,6716,63,15,2026-05-07 04:56:02.368975,cohort2
79Y8qRw3wOw,1051,9,0,2026-05-07 04:56:02.368975,cohort2
9p0-60NCK1E,1516,26,0,2026-05-07 04:56:02.368975,cohort2
ky8i3fchNjY,1008,43,3,2026-05-07 04:56:02.368975,cohort2
nDpF4DLdsCw,1775,73,11,2026-05-07 04:56:02.368975,cohort2
8HGev-iN1ok,2377,0,0,2026-05-07 04:56:02.368975,cohort2
UHZACPm3jwE,1265,20,0,2026-05-07 04:56:02.368975,cohort2
4wpyQLSBNP0,1275,11,0,2026-05-07 04:56:02.368975,cohort2
96JomE0jqDc,3699,22,1,2026-05-07 04:56:02.368975,cohort2
Tsxwx7AYUoA,3863,69,0,2026-05-07 04:56:02.368975,cohort2
X-vUrqQSO_o,858,13,0,2026-05-07 04:56:02.368975,cohort2
0UrXg_Rz_a0,732,32,0,2026-05-07 04:56:02.368975,cohort2
r5PvHf3pOM0,1713,7,0,2026-05-07 04:56:02.368975,cohort2
jDBrgXKGSkc,1362,10,0,2026-05-07 04:56:02.368975,cohort2
b6yNHBPmflE,1751,10,0,2026-05-07 04:56:02.368975,cohort2
hn_2QvmwX8k,962,48,0,2026-05-07 04:56:02.368975,cohort2
PLiteqfznuU,987,2,1,2026-05-07 04:56:02.368975,cohort2
ULT9GpdvlTo,1596,16,0,2026-05-07 04:56:02.368975,cohort2
DAJ7pVTcG3o,2154,15,0,2026-05-07 04:56:02.368975,cohort2
zmFbVma5gis,992,30,2,2026-05-07 04:56:02.368975,cohort2
eax9iT4FyqI,829,5,0,2026-05-07 04:56:02.368975,cohort2
0whpKuKm2j0,2381,29,18,2026-05-07 04:56:02.368975,cohort2
q6SDQcqdiRc,989,33,0,2026-05-07 04:56:02.368975,cohort2
